,4828
旅舍,2
过日子,1
漳州,1
点修,1
出来,105
第二,20
还要,123
换句话说,1
仙人洞,1
闹到,1
平安,4
未作,1
被套,4
鸡头,1
为主,10
电视频道,4
提重,1
乐园,7
一樣,2
价格公道,2
卡拉,6
聪明,1
参观,2
淳朴,1
银子,3
窗小,2
太像,1
带病,2
谈,4
单薄,1
餐有,1
难以置信,1
奥运,8
线,6
串联,2
事务,1
兄弟姐妹,3
凳子,4
反,2
牌,4
弹性,1
准时到达,4
同浴,2
十分钟,19
七星,2
须知,2
难以,15
看似,3
当晚,19
非常简单,5
知,3
除,3
应付,1
世纪,5
第五,2
西藏,3
冷冷的,3
长途电话,4
闹,7
迷迷糊糊,2
事办,2
女孩子,2
应为,1
耳塞,1
第一,30
愣头愣脑,2
入睡,27
第三,12
270,1
星期五,3
官员,4
观,2
安顿下来,1
275,1
空空,2
278,2
审核,1
眼中,1
關上,2
那家,3
讲到,1
保护环境,1
意大利文,2
菜谱,1
公路,3
为了,45
几公里,2
卡才,1
三年,1
事前,1
伪满,1
卫生部,1
附楼,6
太偏,10
AT&T,1
情不愿,2
洞,5
国脉,1
眼下,2
英文翻译,2
惹火,1
明确,6
低着头,2
購物點,2
在家,2
入眠,4
here,6
震耳欲聋,1
reported,2
临界,1
高度重视,6
脚气,1
墙体,2
冒险,1
不知去向,2
说不过去,3
铺床,2
押金,34
无奈,23
为什,1
交警大队,1
浓烈,4
滴,9
产品,11
纵横,1
内涵,1
用微,1
须,2
投入使用,2
女朋友,4
开封,10
目前,15
加以,3
沉,2
纸张,2
上,372
后,410
餐,8
内江,1
停开,1
蒙,2
机制,4
花洒管,1
一次,97
鸽子,1
挂断,6
夹杂,2
丈夫,1
好几年,1
慢吞吞,1
星座,10
离,102
据说,18
日子,7
临,3
少少,1
遭遇,16
三十分钟,1
一歇,1
屏风,2
岗位,1
太冷,7
手脚冰凉,1
5.12,2
98,4
快乐,2
此项,4
90,10
门市价,6
地尝,1
挨着,4
硌,4
淡薄,1
前来,1
小而,1
正式,2
一步,3
中属败,2
这时候,5
嗅到,1
四五百,1
沒有服,1
真叫,1
号,47
最快,1
为何,12
抵御,1
称道,4
节,1
忐忑不安,1
黄河水,1
落乡,1
這,6
暴发户,1
want,2
员工,64
纸记,1
LG,4
名片,2
菜贵,1
为例,1
沙粒,1
加之,1
塑料套,1
意见,53
说话声,4
LP,1
一段,10
LZ,2
举架,2
气呼呼,1
A,6
其次,15
居住,15
点中,1
回想起来,2
还行,1
房价格,2
加个,2
杨家埠,1
总服务台,4
彩电,1
坏,104
风大,2
标的,4
我大,1
胶纸,2
看人,2
排风,1
喷点,1
要大床,3
经济型,16
点下,4
大桌,1
错误,14
加上,16
巨,2
检讨,2
业务素质,1
亲切感,1
有利,1
正常,20
通常,6
减分,1
三张,2
1000,4
那天,27
上定,1
一栋,2
被子,76
挖,1
洋鬼子,1
失手,1
铁通,2
门把手,2
那头,2
公车,1
开张,4
精力,1
經濟,2
1221,1
准时,4
没吐,1
街景,1
东楼,9
冻死,4
端上来,2
一样,153
发霉,30
一根,7
后悔,23
日照,4
上客,1
来发,1
所,51
内漏,1
夏利,2
遠,2
摸索,1
改造,17
在线,1
灌,2
一桌,1
言论,2
再次发生,8
奉献精神,1
三岁,1
共舞,1
基地,2
机关,3
切片,1
地说,10
学,4
鲜花,3
價錢貴,2
没人查,1
生财,1
我度過,1
一桶,1
猪肉,1
纸屑,1
定到,1
外宾,4
窄小,3
标,5
兰州铁路局,2
接洽,1
390,2
糟蹋,2
399,2
398,2
不足以,2
一條,8
高明,2
干扰,3
不领情,1
抛离,1
尊贵,2
有关,10
普通话,4
敬请,2
小菜,7
差能,2
前几次,2
極度,2
做到,9
后怕,1
這家,3
视而不见,2
开心,9
懂,14
饱受,2
全都,5
SPA,3
配,1
成都,22
司机,56
全部,23
秒,3
汤勺,1
象如家,1
清洁卫生,1
艰难,1
江,1
连,157
配菜,1
弱点,2
台费,1
没人来,6
大扫除,1
断电,6
下雨天,2
市政府,1
连续,6
擦不掉,1
群众,1
好,467
兑现,3
报馆,1
致命伤,2
實實,2
次大,1
作怪,1
Please,1
闭上眼睛,2
嘎,1
轻而易举,2
或,57
定单,13
服务态度,118
171,1
620NET,1
红肿,2
肥皂泡,1
service,1
洗洁精,6
中等城市,1
澳,1
暗无天日,1
功夫,1
三轮车,3
之星,24
杀价,4
将近,17
安生,1
周四,2
上餐,1
反复强调,1
之景,1
玩时,2
右手,1
门牙,1
产生矛盾,1
黑车,5
比较烦,3
老虎,1
舞厅,2
乞,1
算得,2
太原,3
因过,1
男员工,3
水壶,16
饭费,1
不太像,1
装傻充愣,1
两张床,10
水声,3
shower,4
早知如此,2
各类,1
价目单,1
放着,2
没人敢,1
一鼓作气,1
上下左右,1
一楼,50
应,12
哥们,1
會,3
10min,1
开床,1
」,4
有用吗,1
亲戚,6
高声,1
３,16
开店,1
不太值,1
接水,2
1115,1
负,2
商量,10
苗条,4
四川人,1
意识,59
事先,25
记,2
趴,2
自终,1
挂机,1
古运河,2
哑巴,1
唯有,2
赶紧,22
黑迹,2
遍,1
当时,96
观看,2
正对面,1
当,49
眼花缭乱,2
纸巾,3
古典,2
啥样,2
鼓风机,1
收下来,2
当日,9
亲手,1
叠,2
包厢,2
幸亏,7
和衣而睡,1
外地人,3
停工,1
还算快,2
定去,2
胶粘,1
要离,1
书桌,1
献上,1
过路车,1
敢管,2
先进,3
童车,1
着重,1
收到,24
年前,7
天中,1
严肃,1
机场,70
‘,13
南开大学,1
洗手间,55
开夜,2
大热天,2
多得,1
座,4
口袋,1
略过,2
当成,3
之意,2
这样一来,1
填饱,1
写点,1
天下,1
天上,1
汗味,3
红酒,1
顺畅,1
打包,5
签订协议,2
之慢,1
离谱,15
匆忙,5
打印,16
闲多,1
均会,1
雄伟,1
下开,1
暖气,38
赞扬,1
混乱,8
拉好,2
恢复正常,3
帽子,1
确认,66
打单,2
齐齐哈尔,2
暖水,1
转不开身,1
超贵,1
精品,2
搬出,1
观点,2
开好,2
倒贴,2
摘掉,1
摆明,2
翻边,2
刚进,7
顺流而下,1
出乎意料,1
学校,1
床头灯,7
特色菜,3
彩灯,1
天亮,4
水弄,1
溜,1
排气扇,5
利索,1
混亂,1
天,115
喜好,3
要续,2
喝烧,1
大门口,2
网上,54
采用,5
灯都关,1
超超,1
简陋,56
截然,1
女服务员,5
卡是,2
无法弥补,1
从而,1
一个个,7
莲蓬头,4
衣云收,2
不负责任,11
北街,1
地赶,1
思想,2
古色古香,1
打发,2
蒸品,1
豪气万千,1
曬,2
听任,1
好几家,1
泰,1
一滴,1
多会,1
八大关,1
肯德基,1
11.18,2
没逼得,2
打到,6
較,8
停几量,1
同样,36
节日期间,2
呼来,1
令人,35
煮饭,1
250,5
盘算,1
炒个,1
255,1
平庸,2
上岸,1
能源,6
南方人,1
口里,2
而后,1
机关作风,1
.,1523
开幕式,1
后果,3
误机,1
极其,46
还算大,1
26.27,1
靠窗,1
为民除害,1
整一个,2
机器,10
过,404
有线电视,4
担误,1
結,2
二间,1
没准儿,1
答,24
腊来,1
全面,7
全靠,2
过因,2
古城,9
日式,5
掉线,2
银帆,1
吃素,2
登个,1
三家,2
转机,1
楼后,1
普通百姓,1
在建,2
空置,1
代表,8
项,1
衛生實,1
国营,16
正对,3
冷言,1
取得,2
如所,1
小卖部,2
忙不过来,1
不了了之,4
移动,5
沈阳,4
卫生间,216
点会,2
办事处,1
胃口,3
举目望去,1
最烂,11
鼓点,1
没想到,29
以供,1
谢谢,20
前面,39
燕山,1
降,2
后来,190
错过,5
坐落,3
臭豆腐,1
自找麻烦,2
卡机,1
上层,1
廣場,2
云云,1
胃痛,1
科勒,2
酒店用品,1
古,2
水平,51
药,5
车流,2
收回,5
收取,10
最滥,1
挑选,2
正宗,5
极,20
张卡,1
光鲜,2
我延,4
挺大,3
疍,1
五星级,60
狗狗,7
些,17
以致于,1
比较满意,11
算大,2
闭一只眼,1
雁鸣,1
北京,41
没人接,2
前评,1
愉快,33
不一会儿,2
憋气,1
券,6
屯河,1
已满,2
同步,1
三层,1
不讲道理,1
主人,1
包了,1
毁坏,1
台要,1
夜市,5
媒子,1
富丽,2
查到,4
深深,4
不可理喻,3
我店,6
闲居,1
睡袋,1
燃烧,2
明细,1
据,8
品味,3
大众化,1
文革,2
算好,2
热水管,2
以备,1
邮件,6
签,13
赔偿,19
睡衣,9
right,1
8031,1
重申,1
8033,1
辆,5
不掉,1
超过,24
缓台,1
經歷,1
和,836
问题所在,2
暗暗,3
裂,1
早班,1
盐阜,1
信号,16
渔和柏悦,1
折,6
值得一提,1
长期,15
墓道,1
商铺,2
狡辩,5
午饭,6
沙田,1
不淨潔,1
挂房,1
饺子,1
银川,2
会不段,1
打击,1
前厅,6
各种,17
较脏,3
更优越,1
我常,1
午餐,6
也好,2
偏,23
上当,22
结婚证,4
比比皆是,2
滚滚,1
我带,2
略贵,1
极力,3
瘙痒,1
火冒三丈,2
中转,2
黄斑,3
委办,1
因,35
公认,1
概括,2
用脚,1
设备简陋,1
生平,2
事后,5
o,2
走后,2
免单,3
姜汤,1
应是,1
席梦思床,4
大理石,5
低频,1
开对,1
真可笑,1
小虫,2
以表,1
等同于,3
铁锈,2
飞机票,1
施工方,1
挂掉,1
下机,1
过连亲,1
脱掉,1
几次,28
身汗,1
正好,15
我快,2
餐厅,149
崇光,1
還,2
解釋,2
解释,70
贈券,6
六七个,3
主观,1
睡觉,51
打倒,1
丁矫,1
当有,2
搬动,1
音程,1
任人,1
商旅,2
像样,1
浴衣,3
过得去,11
happy,2
杀,2
馊,1
不会弄错,2
紫菜汤,2
燕赵,1
后不着店,1
失望,129
响,8
前门,4
犯愁,1
探头,1
安睡,2
悲哀,2
愿望,2
张券,1
盡,1
靠,49
呢,103
经理室,2
那层,2
可不可以,3
熨斗,2
正处,1
菜该,1
接过,1
动气,1
店,40
协成,1
零星,3
带走,2
有员,2
153,1
158,1
看,170
有力,1
时去,2
还过得去,2
外境,1
电热水壶,1
麻烦,34
长春,10
其脏,1
上市,1
修复,1
浩浩荡荡,1
引狼入室,1
有味,4
依赖症,1
搭,9
太坑,1
前锋,1
不至于,1
太坏,2
订金,2
搬到,2
爹,1
大顺,1
十一号,1
华旗,1
2727,1
外币,1
左右,48
旋转,1
并入,4
忠恳,2
浴袍,5
四百多,5
肯定,66
年内,1
三处,2
99,1
要们,1
花样,2
餐巾纸,2
正如,2
巡视,1
第二间,4
乱,12
括号,1
体重,1
第四天,1
男生,2
彈簧,2
饿,6
有否,2
脚背,1
三四,1
这位,5
反映,43
FB,2
V,1
箍,2
是否是,2
丽晶,3
水压,4
外墙,3
较近,5
不成比例,2
袋装,2
一截,1
泛出,2
喜来登,3
94,1
實際上,1
鞋子,1
认真负责,2
这使,2
810,1
卖点,1
任选,3
打开,74
一房,2
憨厚,2
态度强硬,3
一扇,5
记录,6
丰盛,3
极小,4
极少,3
燕良,1
这会,1
还脏脏,1
肉包,2
1702,4
￥,7
以下,19
上出,1
端来,1
以上,40
语,3
乐府,2
原订,1
意大利,1
该处,1
夜总会,6
份量,2
一批,1
机子,1
安全性,1
咋象,1
五谷杂粮,1
精神可嘉,2
记得,9
冷淡,12
胖胖的,2
一把,7
何必,2
闹大,1
德请,1
一抓,1
店铺,1
断网,1
羊肉,1
银叶,1
接机,22
